iter	Passed	Remaining
887	8163	1029
888	8173	1020
889	8182	1011
890	8191	1002
891	8200	992
892	8210	983
893	8218	974
894	8227	965
895	8236	956
896	8247	947
897	8256	937
898	8265	928
899	8274	919
900	8281	909
901	8290	900
902	8299	891
903	8309	882
904	8319	873
905	8330	864
906	8340	855
907	8350	846
908	8360	836
909	8369	827
910	8379	818
911	8389	809
912	8399	800
913	8408	791
914	8417	781
915	8428	772
916	8437	763
917	8446	754
918	8456	745
919	8466	736
920	8476	727
921	8485	717
922	8495	708
923	8504	699
924	8513	690
925	8522	681
926	8532	671
927	8541	662
928	8551	653
929	8560	644
930	8569	635
931	8578	625
932	8587	616
933	8596	607
934	8605	598
935	8615	589
936	8624	579
937	8634	570
938	8643	561
939	8652	552
940	8661	543
941	8671	533
942	8682	524
943	8691	515
944	8701	506
945	8710	497
946	8719	487
947	8728	478
948	8738	469
949	8746	460
950	8756	451
951	8766	442
952	8775	432
953	8785	423
954	8795	414
955	8804	405
956	8813	395
957	8822	386
958	8831	377
959	8840	368
960	8849	359
961	8859	349
962	8869	340
963	8879	331
964	8888	322
965	8897	313
966	8906	303
967	8914	294
968	8922	285
969	8928	276
970	8934	266
971	8940	257
972	8945	248
973	8951	238
974	8956	229
975	8961	220
976	8967	211
977	8973	201
978	8980	192
979	8986	183
980	8992	174
981	8999	164
982	9007	155
983	9014	146
984	9019	137
985	9025	128
986	9030	118
987	9035	109
988	9041	100
989	9048	91
990	9054	82
991	9060	73
992	9065	63
993	9071	54
994	9076	45
995	9084	36
996	9090	27
997	9096	18
998	9101	9
999	9107	0
